customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,churn_percentage
7590-VHVEG,0.0,0.0,1.0,0.0,0.013888888888888888,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.11542288557213931,0.0034370394252026537,0,0.5567513,55.675133
5575-GNVDE,1.0,0.0,0.0,0.0,0.4722222222222222,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.3850746268656716,0.21756401989683127,0,0.091072604,9.107261
3668-QPYBK,1.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35422885572139307,0.012452791083271925,1,0.30954853,30.954853
7795-CFOCW,1.0,0.0,0.0,0.0,0.625,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.23930348258706463,0.21195076455416362,0,0.008046867,0.8046867
9237-HQITU,0.0,0.0,0.0,0.0,0.027777777777777776,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5218905472636816,0.017461542004421522,1,0.68620783,68.62078
9305-CDSKC,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8099502487562189,0.09447540530582167,1,0.8683953,86.83953
1452-KIOVK,1.0,0.0,0.0,1.0,0.3055555555555555,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.7049751243781094,0.22446112748710395,0,0.569989,56.9989
6713-OKOMC,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11442786069651739,0.03476188282977156,0,0.010847184,1.0847183
7892-POOKP,0.0,0.0,1.0,0.0,0.38888888888888884,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8611940298507462,0.3507334653647753,1,0.5065002,50.650017
6388-TABGU,1.0,0.0,0.0,1.0,0.861111111111111,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3771144278606965,0.40161546610169496,0,0.011311364,1.1311364
9763-GRSKD,1.0,0.0,1.0,1.0,0.18055555555555555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3154228855721393,0.0676411661753869,0,0.26704177,26.704178
7469-LKBCI,1.0,0.0,0.0,0.0,0.2222222222222222,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.006965174129353213,0.03762896094325719,0,0.007177541,0.7177541
8091-TTVAX,1.0,0.0,1.0,0.0,0.8055555555555555,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.8169154228855721,0.6541428703021372,0,0.14381702,14.381702
0280-XJGEX,1.0,0.0,0.0,0.0,0.6805555555555555,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8502487562189055,0.5798982129697864,1,0.5395522,53.955223
5129-JLPIS,1.0,0.0,0.0,0.0,0.3472222222222222,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8681592039800995,0.3092817336035373,0,0.3399582,33.99582
3655-SNQYZ,0.0,0.0,1.0,1.0,0.9583333333333333,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.945273631840796,0.9090767778187179,0,0.06276119,6.2761188
8191-XWSZG,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.023880597014925342,0.11778624723655123,0,0.0034822428,0.34822428
9959-WOFKT,1.0,0.0,0.0,1.0,0.986111111111111,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8800995024875623,0.8500195744288874,0,0.0637987,6.3798704
4190-MFLUW,0.0,0.0,1.0,1.0,0.1388888888888889,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.36766169154228856,0.06083617354458365,1,0.5918253,59.18253
4183-MYFRB,0.0,0.0,0.0,0.0,0.29166666666666663,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.7144278606965173,0.21450119749447313,0,0.5490427,54.90427
8779-QRDMV,1.0,1.0,0.0,0.0,0.013888888888888888,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.21293532338308457,0.004565447678703022,1,0.8878641,88.78641
